Location,1900s,2025,2100
"Copenhagen, Denmark",CGB2,CGB2,CGA1
"Coral Harbour, Nunavut, Canada",FC1,FHB1,EGB2
"Corner Brook, Newfoundland and Labrador, Canada",DHB2,DHB2,DHA1
"Crystal City, Texas, United States",BDA2,BDZ1,BDZ2
"Dakar, Senegal",ADA2,AWA2,ADZ1
"Dallas–Fort Worth–Arlington, Texas, United States",CSA2,CSZ1,BSZ2
"Damascus, Syria",CDA2,CMA1,CDA2
"Delhi, India",BDZ1,BWZ1,AWZ2
"Denver–Aurora, Colorado, United States",DSA1,CSA1,CDA2
"Des Moines, Iowa, United States",DGA1,DGA2,CSZ1
"Detroit, Michigan, United States",DGA1,DGA1,CGZ1
"Dhaka, Bangladesh",BWA2,BWA2,AWZ1
"Dieppe, New Brunswick, Canada",DHB2,DHA1,CHA2
"Dili, Timor-Leste",ASA2,AGA2,ASA2
"Djibouti, Djibouti",BDA2,ADZ1,ADZ2
"Dodoma, Tanzania",BWA1,ADA2,ADA2
"Doha, Qatar",BDZ1,BDZ2,ADX1
"Dongguan, China",BHA2,BWZ1,AWZ1
"Dover, DE",CHA1,CGA2,CGZ1
"Dubai, United Arab Emirates",BDZ1,ADZ2,ADX1
"Dublin, Ireland",CHB2,CHB2,CMA1
"Duluth, Minnesota, United States",EHB2,DHA1,DGA2
"Dushanbe, Tajikistan",CMA2,CMA2,CMZ1
"Edmonton, Alberta, Canada",EGB2,EGB2,DSA2
"El Menia, Algeria",BDZ1,BDZ2,BDX1
"Eureka Research Station, Nunavut, Canada",GY,GC2,FSB1
"Fairbanks, Alaska, United States",FB2,FSB2,DSA1
"Fort Good Hope, Northwest Territories, Canada",GB2,FSB2,ESA1
"Fort Providence, Northwest Territories, Canada",FB2,FSB2,ESA1
"Fort Simpson, Northwest Territories, Canada",FB2,FGB2,EGA1
"Fort Smith, Northwest Territories, Canada",FB2,FGB2,ESA1
"Frankfort, Kentucky, United States",DHA1,CHA2,CGZ1
"Fredericton, New Brunswick, Canada",DHB2,DHA1,CHA2
"Freetown, Sierra Leone",AWA2,AWA2,AWA2
"Funchal, Madeira",BMA1,BMB2,BMA1
"Fuzhou, China",CHA2,BGA2,BGZ1
"Gaborone, Botswana",BDA2,BDA2,ADZ1
"Gateway, Alaska, United States",EB1,DGB2,CGA1
"Gatineau, Quebec, Canada",EHA1,DHA1,DGA2
"George Town, Cayman Islands",ASA2,AGA2,ASZ1
"Georgetown, Guyana",AHA2,AHA2,ZSZ1
"Gibraltar, Gibraltar",BMA1,BMA2,BDZ1
"Gitega, Burundi",BGB2,AGA1,AGA2
"Grand Forks, North Dakota, United States",EGA1,ESA1,DSZ1
"Guangzhou–Foshan, China",BWA2,BGZ1,AWZ1
"Guatemala City, Guatemala",BWA1,BHA1,AHA2
"Gujrat, Pakistan",BSZ1,BWZ1,BWZ2
"Hagåtña, Guam",AHA2,AHA2,ZHZ1
"Halifax, Nova Scotia, Canada",DHB2,DHA1,CHA2
"Hamilton, Bermuda",BGA1,AGA2,AGZ1
"Hamilton, Ontario, Canada",DHA1,DGA1,CGA2
"Hanga Roa, Easter Island",BGA1,BGB2,BMA1
"Hangzhou, China",CHA2,CGZ1,BGZ1
"Hanoi, Vietnam",BWA2,BWZ1,AWZ2
"Harare, Zimbabwe",BWA1,BWA1,AWA2
"Harrisburg, Pennsylvania, United States",DHA1,CHA2,CGZ1
"Hartford, Connecticut, United States",DHA1,CHA2,CGZ1
"Havana, Cuba",AGA2,ASA2,ASZ1
"Hay River, Northwest Territories, Canada",FB2,FGB2,ESA1
"Heard Island and McDonald Islands",DC1,DC1,DC2
"Helena, Montana, United States",DSB2,DSA1,CDA2
"Helsinki, Finland",DB1,DGB2,CGA1
"Hengyang, China",CGZ1,CGZ1,BGZ2
"Ho Chi Minh City, Vietnam",AGA2,AGZ1,ZSZ1
"Honiara, Solomon Islands",AHA2,AHA2,AHA2
"Honolulu, Hawaii, United States",AMA2,AMA2,AMA2
"Houston, Texas, United States",BGA2,BGZ1,BSZ1
"Hulunbuir, China",FA1,FWA1,EWA2
"Hyderabad, India",AWZ1,AWZ1,AWZ2
"Igloolik, Nunavut, Canada",FY,FC2,EGB1
"Indianapolis, Indiana, United States",DHA1,DGA2,CGZ1
"INunavut, Canadavik, Northwest Territories, Canada",FB1,FGB2,ESA1
"Iqaluit, Nunavut, Canada",FC2,FC2,DHB2
"Isachsen Research Station, Nunavut, Canada",GY,GC1,EC2
"Islamabad, Pakistan",CSZ1,BSZ1,BSZ2
"Istanbul, Turkey",CMA1,CMA2,BMZ1
"Jackson, Mississippi, United States",CGA2,CGA2,BGZ1
"Jacksonville, Florida, United States",BGA2,BGA2,BSZ1
"Jakarta, Indonesia",AGA2,AGA2,ZGZ1
"Jamestown, St Helena",BMA1,BSB2,BDA1
"Jefferson City, Missouri, United States",DGA2,CGA2,CSZ1
"Jerusalem, Israel",CMA1,BDA2,BDZ1
"Johannesburg–Pretoria, South Africa",BWA1,BWA1,BWA2
"Juba, South Sudan",ASA2,ASZ1,ZSZ2
"Juneau, Alaska, United States",DB1,DHB1,CHB2
"Kabul, Afghanistan",DMA1,DSA1,CSA2
